Swiss food composition database – Generic foods V6.1 (28.03.2019),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,ID V 4.0,ID SwissFIR,Name,Synonyms,Category,Density,Matrix unit,"Energy, kilojoules (kJ)",Derivation of value,Source,"Energy, kilocalories (kcal)",Derivation of value,Source,"Fat, total (g)",Derivation of value,Source,"Fatty acids, saturated (g)",Derivation of value,Source,"Fatty acids, monounsaturated (g)",Derivation of value,Source,"Fatty acids, polyunsaturated (g)",Derivation of value,Source,Cholesterol (mg),Derivation of value,Source,"Carbohydrates, available (g)",Derivation of value,Source,Sugars (g),Derivation of value,Source,Starch (g),Derivation of value,Source,Dietary fibres (g),Derivation of value,Source,Protein (g),Derivation of value,Source,Salt (NaCl) (g),Derivation of value,Source,Alcohol (g),Derivation of value,Source,Wasser (g),Derivation of value,Source,"Vitamin A activity, RE (µg-RE)",Derivation of value,Source,"Vitamin A activity, RAE (µg-RE)",Derivation of value,Source,All-trans retinol equivalents (µg-RE),Derivation of value,Source,Beta- carotene activity (µg-BCE),Derivation of value,Source,Beta-carotene (µg),Derivation of value,Source,Vitamin B1 (thiamine) (mg),Derivation of value,Source,Vitamin B2 (riboflavin) (mg),Derivation of value,Source,Vitamin B6 (pyridoxine) (mg),Derivation of value,Source,Vitamin B12 (cobalamin) (µg),Derivation of value,Source,Niacin (mg),Derivation of value,Source,Folate (µg),Derivation of value,Source,Panthotenic acid (mg),Derivation of value,Source,Vitamin C (ascorbic acid) (mg),Derivation of value,Source,Vitamin D (calciferol) (µg),Derivation of value,Source,Vitamin E activity (mg-ATE),Derivation of value,Source,Potassium (K) (mg),Derivation of value,Source,Sodium (Na) (mg),Derivation of value,Source,Chloride (Cl) (mg),Derivation of value,Source,Calcium (Ca) (mg),Derivation of value,Source,Magnesium (Mg) (mg),Derivation of value,Source,Phosphorus (P) (mg),Derivation of value,Source,Iron (Fe) (mg),Derivation of value,Source,Iodide (I) (µg),Derivation of value,Source,Zinc (Zn) (mg),Derivation of value,Source,Selenium (Se) (µg),Derivation of value,Source,Record has changed
1267,,,"Root and tuber vegetables (average), raw",,Vegetables/Fresh vegetables,,per 100g edible portion,151,Automated calculation,,36,Automated calculation,,0.3,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,6,Calculation on the basis of ingredients,,5.7,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,2.8,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,0.1,Automated calculation,,0,Calculation on the basis of ingredients,,90,Automated calculation,,1058,Automated calculation,,529,Automated calculation,,0,Calculation on the basis of ingredients,,6346,Calculation on the basis of ingredients,,5054,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0.05,Calculation on the basis of ingredients,,0.09,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.66,Calculation on the basis of ingredients,,38.1,Calculation on the basis of ingredients,,0.33,Calculation on the basis of ingredients,,9.2,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.43,Calculation on the basis of ingredients,,210,Calculation on the basis of ingredients,,38,Calculation on the basis of ingredients,,70,Calculation on the basis of ingredients,,33,Calculation on the basis of ingredients,,12,Calculation on the basis of ingredients,,33,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,1.6,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,n.d.,,,Ja
1162,3649,,"Root and tuber vegetables (average), steamed (without addition of salt)",,Vegetables/Cooked vegetables (incl. cans),,per 100g edible portion,168,Automated calculation,,40,Automated calculation,,0.3,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,6.6,Calculation on the basis of ingredients,,6.4,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,3.1,Calculation on the basis of ingredients,,1.1,Calculation on the basis of ingredients,,0.1,Automated calculation,,0,Calculation on the basis of ingredients,,88.9,Automated calculation,,1175,Automated calculation,,588,Automated calculation,,0,Calculation on the basis of ingredients,,7051,Calculation on the basis of ingredients,,5054,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0.05,Calculation on the basis of ingredients,,0.08,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.59,Calculation on the basis of ingredients,,25.4,Calculation on the basis of ingredients,,0.31,Calculation on the basis of ingredients,,7.9,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.48,Calculation on the basis of ingredients,,200,Calculation on the basis of ingredients,,34,Calculation on the basis of ingredients,,74,Calculation on the basis of ingredients,,35,Calculation on the basis of ingredients,,11,Calculation on the basis of ingredients,,35,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,1.6,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,n.d.,,,Ja
1163,3707,,"Root and tuber vegetables (average), stewed (without addition of fat and salt)",,Vegetables/Cooked vegetables (incl. cans),,per 100g edible portion,148,Automated calculation,,35,Automated calculation,,0.3,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,5.8,Calculation on the basis of ingredients,,5.6,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,2.7,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,0.1,Automated calculation,,0,Calculation on the basis of ingredients,,90.2,Automated calculation,,1037,Automated calculation,,518,Automated calculation,,0,Calculation on the basis of ingredients,,6222,Calculation on the basis of ingredients,,4459,Calculation on the basis of ingredients,,0.04,Calculation on the basis of ingredients,,0.05,Calculation on the basis of ingredients,,0.08,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.62,Calculation on the basis of ingredients,,26.2,Calculation on the basis of ingredients,,0.29,Calculation on the basis of ingredients,,7.4,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.42,Calculation on the basis of ingredients,,210,Calculation on the basis of ingredients,,37,Calculation on the basis of ingredients,,69,Calculation on the basis of ingredients,,33,Calculation on the basis of ingredients,,12,Calculation on the basis of ingredients,,33,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,1.5,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,n.d.,,,Ja
484,4345,1000970,Roquefort cheese,,Milk and dairy products/Hard cheese,,per 100g edible portion,1500,Automated calculation,,363,Automated calculation,,31.7,-,43,19,-,3,7.4,-,3,1.5,-,3,95,-,3,0.2,-,23,0,-,43,0,-,22,0,-,22,19.2,-,1660,4,Automated calculation,,0,-,22,42.6,-,43,253,Automated calculation,,253,Automated calculation,,253,-,61,0,Estimation,51,0,-,61,0.05,-,43,0.81,-,43;1659,0.12,-,43,0.54,-,43;1659,0.7,-,43,40,-,43,0.57,-,43;1659,tr.,-,43,0.4,-,43;1659,0.8,-,43,120,-,43,1600,-,43,2400,-,9,600,-,43,27,-,43,430,-,43,0.4,-,43,40,-,9,2.5,-,9,n.d.,,,Nein
462,4423,1000944,"Rosemary, fresh",,Vegetables/Herbs,,per 100g edible portion,260,Automated calculation,,62,Automated calculation,,2.5,-,9,0.5,-,9,0.1,-,9,1.4,-,9,0,-,9,7.7,-,9,7.6,-,9,0.1,-,9,2.9,-,9,0.8,-,9,0,Automated calculation,,0,-,9,85,-,9,92,Automated calculation,,46,Automated calculation,,0,Estimation,51,550,-,81,n.d.,,,0.09,-,9,0.12,-,5,0.05,-,5,0,-,9,0.17,-,9,0,-,9,0,-,9,16.5,-,5,0,-,9,0.86,-,5,160,-,9,8,-,9,33,-,9,210,-,9,36,-,9,12,-,9,4.8,-,9,1,-,9,0.5,-,9,n.d.,,,Nein
858,4693,1001529,"Rosti (shredded potatoes, ready to fry)",,"Cereal products, pulses and potatoes/Potatoes",,per 100g edible portion,495,Automated calculation,,118,Automated calculation,,3.7,Calculation on the basis of ingredients,,1.6,Calculation on the basis of ingredients,,1.3,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,18.5,Calculation on the basis of ingredients,,0.9,Calculation on the basis of ingredients,,17.7,Calculation on the basis of ingredients,,1.4,Calculation on the basis of ingredients,,2,Calculation on the basis of ingredients,,1.1,Automated calculation,,0,Calculation on the basis of ingredients,,74.4,Automated calculation,,1,Automated calculation,,1,Automated calculation,,0,Calculation on the basis of ingredients,,6,Calculation on the basis of ingredients,,4,Calculation on the basis of ingredients,,0.15,Calculation on the basis of ingredients,,0.02,Calculation on the basis of ingredients,,0.39,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.45,Calculation on the basis of ingredients,,22,Calculation on the basis of ingredients,,0.31,Calculation on the basis of ingredients,,11.2,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.39,Calculation on the basis of ingredients,,320,Calculation on the basis of ingredients,,430,Calculation on the basis of ingredients,,660,Calculation on the basis of ingredients,,5.6,Calculation on the basis of ingredients,,15,Calculation on the basis of ingredients,,34,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,28,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,n.d.,,,Ja
930,4142,,Rusk,,"Bread, flakes and breakfast cereals/Crispbreads, rusks, crackers and wafers",,per 100g edible portion,1810,Automated calculation,,428,Automated calculation,,9.5,Calculation on the basis of ingredients,,4.9,Calculation on the basis of ingredients,,2.7,Calculation on the basis of ingredients,,1.1,Calculation on the basis of ingredients,,13,Calculation on the basis of ingredients,,69.6,Calculation on the basis of ingredients,,14.4,Calculation on the basis of ingredients,,54.6,Calculation on the basis of ingredients,,2.7,Calculation on the basis of ingredients,,14.7,Calculation on the basis of ingredients,,2,Automated calculation,,0,Calculation on the basis of ingredients,,4.4,Automated calculation,,48,Automated calculation,,46,Automated calculation,,44,Calculation on the basis of ingredients,,21,Calculation on the basis of ingredients,,19,Calculation on the basis of ingredients,,0.13,Calculation on the basis of ingredients,,0.22,Calculation on the basis of ingredients,,0.06,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0.81,Calculation on the basis of ingredients,,24.3,Calculation on the basis of ingredients,,0.46,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,260,Calculation on the basis of ingredients,,800,Calculation on the basis of ingredients,,1220,Calculation on the basis of ingredients,,69,Calculation on the basis of ingredients,,21,Calculation on the basis of ingredients,,100,Calculation on the basis of ingredients,,0.6,Calculation on the basis of ingredients,,49,Calculation on the basis of ingredients,,0.6,Calculation on the basis of ingredients,,n.d.,,,Nein
929,4146,,Rusk wholemeal,,"Bread, flakes and breakfast cereals/Crispbreads, rusks, crackers and wafers",,per 100g edible portion,1740,Automated calculation,,412,Automated calculation,,9,Calculation on the basis of ingredients,,4,Calculation on the basis of ingredients,,2.4,Calculation on the basis of ingredients,,1.6,Calculation on the basis of ingredients,,9,Calculation on the basis of ingredients,,61.2,Calculation on the basis of ingredients,,13.8,Calculation on the basis of ingredients,,47.2,Calculation on the basis of ingredients,,7.8,Calculation on the basis of ingredients,,17.6,Calculation on the basis of ingredients,,1.9,Automated calculation,,0,Calculation on the basis of ingredients,,5.1,Automated calculation,,36,Automated calculation,,35,Automated calculation,,33,Calculation on the basis of ingredients,,20,Calculation on the basis of ingredients,,17,Calculation on the basis of ingredients,,0.29,Calculation on the basis of ingredients,,0.27,Calculation on the basis of ingredients,,0.32,Calculation on the basis of ingredients,,0.12,Calculation on the basis of ingredients,,3.53,Calculation on the basis of ingredients,,32.4,Calculation on the basis of ingredients,,0.85,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,1.43,Calculation on the basis of ingredients,,390,Calculation on the basis of ingredients,,740,Calculation on the basis of ingredients,,1160,Calculation on the basis of ingredients,,99,Calculation on the basis of ingredients,,98,Calculation on the basis of ingredients,,320,Calculation on the basis of ingredients,,3.6,Calculation on the basis of ingredients,,48,Calculation on the basis of ingredients,,2.7,Calculation on the basis of ingredients,,n.d.,,,Nein
1607,,,"Russian salad, prepared",,Prepared dishes/Salads,,per 100g edible portion,820,Automated calculation,,198,Automated calculation,,15.9,Calculation on the basis of ingredients,,2.1,Calculation on the basis of ingredients,,11.4,Calculation on the basis of ingredients,,1.3,Calculation on the basis of ingredients,,43,Calculation on the basis of ingredients,,9.9,Calculation on the basis of ingredients,,1.9,Calculation on the basis of ingredients,,7.9,Calculation on the basis of ingredients,,2.3,Calculation on the basis of ingredients,,2.6,Calculation on the basis of ingredients,,0.3,Automated calculation,,0,Calculation on the basis of ingredients,,69.3,Automated calculation,,185,Automated calculation,,104,Automated calculation,,23,Calculation on the basis of ingredients,,973,Calculation on the basis of ingredients,,714,Calculation on the basis of ingredients,,0.08,Calculation on the basis of ingredients,,0.07,Calculation on the basis of ingredients,,0.12,Calculation on the basis of ingredients,,0.18,Calculation on the basis of ingredients,,0.82,Calculation on the basis of ingredients,,22.8,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,8.6,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,4.76,Calculation on the basis of ingredients,,230,Calculation on the basis of ingredients,,140,Calculation on the basis of ingredients,,250,Calculation on the basis of ingredients,,21,Calculation on the basis of ingredients,,17,Calculation on the basis of ingredients,,62,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,3.5,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,n.d.,,,Ja
824,4115,1001493,Rye bread from Valais,,"Bread, flakes and breakfast cereals/Bread and bread products",,per 100g edible portion,960,Automated calculation,,227,Automated calculation,,1,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,42.6,Calculation on the basis of ingredients,,3.4,Calculation on the basis of ingredients,,38.9,Calculation on the basis of ingredients,,8.8,Calculation on the basis of ingredients,,7.6,Calculation on the basis of ingredients,,1.4,Automated calculation,,0,Calculation on the basis of ingredients,,40.6,Automated calculation,,0,Automated calculation,,0,Automated calculation,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.19,Calculation on the basis of ingredients,,0.15,Calculation on the basis of ingredients,,0.21,Calculation on the basis of ingredients,,tr.,Calculation on the basis of ingredients,,1.29,Calculation on the basis of ingredients,,32.7,Calculation on the basis of ingredients,,0.56,Calculation on the basis of ingredients,,tr.,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.53,Calculation on the basis of ingredients,,250,Calculation on the basis of ingredients,,570,Calculation on the basis of ingredients,,900,Calculation on the basis of ingredients,,20,Calculation on the basis of ingredients,,53,Calculation on the basis of ingredients,,220,Calculation on the basis of ingredients,,2.1,Calculation on the basis of ingredients,,3,Calculation on the basis of ingredients,,2.2,Calculation on the basis of ingredients,,n.d.,,,Nein
846,4133,1001515,Rye bread with rye grist,,"Bread, flakes and breakfast cereals/Bread and bread products",,per 100g edible portion,994,Automated calculation,,235,Automated calculation,,1,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0.5,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,44.1,Calculation on the basis of ingredients,,3.8,Calculation on the basis of ingredients,,40.1,Calculation on the basis of ingredients,,9.4,Calculation on the basis of ingredients,,7.7,Calculation on the basis of ingredients,,1.4,Automated calculation,,0,Calculation on the basis of ingredients,,38.3,Automated calculation,,0,Automated calculation,,0,Automated calculation,,0,Calculation on the basis of ingredients,,<0,Calculation on the basis of ingredients,,<0,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,0.14,Calculation on the basis of ingredients,,0.21,Calculation on the basis of ingredients,,tr.,Calculation on the basis of ingredients,,1.24,Calculation on the basis of ingredients,,23.1,Calculation on the basis of ingredients,,0.55,Calculation on the basis of ingredients,,tr.,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.58,Calculation on the basis of ingredients,,260,Calculation on the basis of ingredients,,570,Calculation on the basis of ingredients,,900,Calculation on the basis of ingredients,,21,Calculation on the basis of ingredients,,56,Calculation on the basis of ingredients,,230,Calculation on the basis of ingredients,,2.2,Calculation on the basis of ingredients,,3.3,Calculation on the basis of ingredients,,2.4,Calculation on the basis of ingredients,,n.d.,,,Nein
830,4113,1001499,Rye bread with sour dough,,"Bread, flakes and breakfast cereals/Bread and bread products",,per 100g edible portion,910,Automated calculation,,215,Automated calculation,,0.9,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,41.5,Calculation on the basis of ingredients,,3.8,Calculation on the basis of ingredients,,37.6,Calculation on the basis of ingredients,,7.7,Calculation on the basis of ingredients,,6.5,Calculation on the basis of ingredients,,1.3,Automated calculation,,0,Calculation on the basis of ingredients,,43.9,Automated calculation,,0,Automated calculation,,0,Automated calculation,,0,Calculation on the basis of ingredients,,<2,Calculation on the basis of ingredients,,<1,Calculation on the basis of ingredients,,0.16,Calculation on the basis of ingredients,,0.11,Calculation on the basis of ingredients,,0.17,Calculation on the basis of ingredients,,tr.,Calculation on the basis of ingredients,,0.98,Calculation on the basis of ingredients,,18.3,Calculation on the basis of ingredients,,0.43,Calculation on the basis of ingredients,,tr.,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.49,Calculation on the basis of ingredients,,230,Calculation on the basis of ingredients,,530,Calculation on the basis of ingredients,,820,Calculation on the basis of ingredients,,20,Calculation on the basis of ingredients,,45,Calculation on the basis of ingredients,,180,Calculation on the basis of ingredients,,1.8,Calculation on the basis of ingredients,,2.7,Calculation on the basis of ingredients,,1.9,Calculation on the basis of ingredients,,n.d.,,,Nein
752,4584,1001395,Rye flour Type 1050,,"Cereal products, pulses and potatoes/Flour and starch",,per 100g edible portion,1420,Automated calculation,,336,Automated calculation,,1.3,-,1528,0.2,-,1528,0.1,-,1528,0.6,-,1528,0,-,9,67.8,-,1528,6.2,-,1528,61.6,-,1528,8.6,-,1640,9,-,1640,0,Automated calculation,,0,Estimation,1648,13.3,-,1528,1,Automated calculation,,1,Automated calculation,,0,Estimation,1648,7,Estimation,1648,7,-,91,0.25,-,1528;1642,0.1,-,1528,0.2,-,1528;1642,0,-,9,1.15,-,1528,37,-,1528,0.57,-,1528;1642,0,-,9,0,-,9,0.6,-,1528,300,-,1528,1,-,9,35,-,9,28,-,1528,50,-,1528,200,-,1528,2.1,-,1528,2.9,-,1528,2.1,-,1528,n.d.,,,Nein
748,4628,1001374,Rye flour Type 815,,"Cereal products, pulses and potatoes/Flour and starch",,per 100g edible portion,1420,Automated calculation,,334,Automated calculation,,1,-,1528,0.1,-,9,0.1,-,9,0.5,-,9,0,-,9,71,-,1528,6.5,-,1528,64.1,-,1528,6.5,-,1640,6.9,-,1640,0,Automated calculation,,0,Estimation,1648,13.8,-,1528,1,Automated calculation,,1,Automated calculation,,0,Estimation,1648,7,Estimation,1648,7,-,91,0.18,-,9,0.09,-,9,0.11,-,9,0,-,9,0.6,-,9,15,-,1528,0.6,-,9,0,-,9,0,-,9,0.34,-,1528,170,-,9,1,-,9,32,-,9,22,-,9,26,-,9,130,-,1528,2.1,-,1528,2.1,-,9,1.5,-,9,n.d.,,,Nein
749,4627,1001381,Rye flour (wholemeal) Type 1800,,"Cereal products, pulses and potatoes/Flour and starch",,per 100g edible portion,1420,Automated calculation,,337,Automated calculation,,1.5,-,1528,0.2,-,9,0.2,-,1528,0.7,-,1528,0,-,9,63.1,-,1528,5.8,-,1528,56.9,-,1528,14.1,-,1640,10.8,-,1640,0,Automated calculation,,0,Estimation,1648,14.3,-,9,0,Automated calculation,,0,Automated calculation,,0,Estimation,1648,0,Estimation,1648,0,-,1528,0.37,-,1528,0.22,-,1528,0.35,-,1528,0,-,9,1.9,-,9,70,-,1528,1.1,-,1528,0,-,9,0,-,9,0.86,-,1528,390,-,1528,2,-,9,69,-,1528,26,-,1528,82,-,1528,340,-,1528,3.2,-,1528,4.5,-,1528,3.6,-,1528,n.d.,,,Nein
589,3911,1001126,Safflower oil,,Fats and oils/Oils,0.9,per 100ml food volume,3330,Automated calculation,,810,Automated calculation,,90,-,1528,8.5,-,1528,9.9,-,1528,68,-,1528,0,Estimation,1648,0,Estimation,1648,0,Estimation,1648,0,Estimation,1648,0,Estimation,1648,0,-,8,0,Automated calculation,,0,Estimation,1648,0.5,-,8,0,Automated calculation,,0,Automated calculation,,0,Estimation,1648,0,Estimation,1648,0,-,156,0,-,8,0,-,8,0,-,8,0,-,8,0,-,8,0,-,8,0,-,8,0,-,8,0,-,8,39.6,-,1640,0.9,-,8,0,-,8,0,-,8,0,-,8,0,-,8,0,-,8,0,-,8,0,Estimation,1648,0,Estimation,1648,n.d.,,,Nein
461,4421,1000943,"Sage, raw",,Vegetables/Herbs,,per 100g edible portion,246,Automated calculation,,59,Automated calculation,,2.1,-,9,1.1,-,9,0.3,-,9,0.3,-,9,0,-,9,6.9,-,9,6.8,-,22,0.1,-,9,2.9,-,9,1.7,-,9,0,Automated calculation,,0,-,9,85,-,9,471,Automated calculation,,235,Automated calculation,,0,Estimation,51,2824,Estimation,51,2780,-,125,0.12,-,9,0.06,-,9,0.54,-,5,0,-,9,0.92,-,9,0,-,9,0,-,9,0,-,9,0,-,9,0.75,-,5,170,-,9,2,-,9,32,-,9,270,-,9,69,-,9,15,-,9,4.5,-,9,1,-,9,0.8,-,9,n.d.,,,Nein
1201,4705,,Salad dressing french style (with rapeseed oil),,Fats and oils/Salad dressings,1.1,per 100ml food volume,1760,Automated calculation,,429,Automated calculation,,46.9,Calculation on the basis of ingredients,,5.4,Calculation on the basis of ingredients,,19.8,Calculation on the basis of ingredients,,19.3,Calculation on the basis of ingredients,,48,Calculation on the basis of ingredients,,0.8,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,0.7,Calculation on the basis of ingredients,,1.3,Automated calculation,,0,Calculation on the basis of ingredients,,51.3,Automated calculation,,5,Automated calculation,,5,Automated calculation,,4,Calculation on the basis of ingredients,,7,Calculation on the basis of ingredients,,6,Calculation on the basis of ingredients,,0.02,Calculation on the basis of ingredients,,0.02,Calculation on the basis of ingredients,,0.03,Calculation on the basis of ingredients,,0.16,Calculation on the basis of ingredients,,0.07,Calculation on the basis of ingredients,,4.4,Calculation on the basis of ingredients,,0.18,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,20.9,Calculation on the basis of ingredients,,39,Calculation on the basis of ingredients,,510,Calculation on the basis of ingredients,,720,Calculation on the basis of ingredients,,16,Calculation on the basis of ingredients,,12,Calculation on the basis of ingredients,,35,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,5.9,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,n.d.,,,Ja
1200,4708,,Salad dressing italian style (with olive oil),,Fats and oils/Salad dressings,1.1,per 100ml food volume,1910,Automated calculation,,464,Automated calculation,,50.7,Calculation on the basis of ingredients,,6,Calculation on the basis of ingredients,,38.1,Calculation on the basis of ingredients,,3.8,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,1.4,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,1,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0.4,Calculation on the basis of ingredients,,0.7,Automated calculation,,0,Calculation on the basis of ingredients,,47.3,Automated calculation,,7,Automated calculation,,4,Automated calculation,,0,Calculation on the basis of ingredients,,44,Calculation on the basis of ingredients,,44,Calculation on the basis of ingredients,,0.01,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.05,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.03,Calculation on the basis of ingredients,,0.1,Calculation on the basis of ingredients,,0.03,Calculation on the basis of ingredients,,1.3,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,15.67,Calculation on the basis of ingredients,,39,Calculation on the basis of ingredients,,290,Calculation on the basis of ingredients,,490,Calculation on the basis of ingredients,,5.5,Calculation on the basis of ingredients,,5.6,Calculation on the basis of ingredients,,14,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,3,Calculation on the basis of ingredients,,0.2,Calculation on the basis of ingredients,,n.d.,,,Ja
783,3570,1001434,Salametti,,Sausages and cold meats/Raw sausage products,,per 100g edible portion,1420,Automated calculation,,343,Automated calculation,,31.4,Calculation on the basis of ingredients,,11.8,Calculation on the basis of ingredients,,14.7,Calculation on the basis of ingredients,,3.3,Calculation on the basis of ingredients,,59,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,0.3,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,14.8,Calculation on the basis of ingredients,,2.8,Automated calculation,,0,Calculation on the basis of ingredients,,53.5,Automated calculation,,5,Automated calculation,,5,Automated calculation,,5,Calculation on the basis of ingredients,,2,Calculation on the basis of ingredients,,2,Calculation on the basis of ingredients,,0.46,Calculation on the basis of ingredients,,0.17,Calculation on the basis of ingredients,,0.28,Calculation on the basis of ingredients,,1.9,Calculation on the basis of ingredients,,3.95,Calculation on the basis of ingredients,,2.1,Calculation on the basis of ingredients,,0.41,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0,Calculation on the basis of ingredients,,0.52,Calculation on the basis of ingredients,,250,Calculation on the basis of ingredients,,1120,Calculation on the basis of ingredients,,1650,Calculation on the basis of ingredients,,3,Calculation on the basis of ingredients,,16,Calculation on the basis of ingredients,,130,Calculation on the basis of ingredients,,0.9,Calculation on the basis of ingredients,,0.6,Calculation on the basis of ingredients,,1.7,Calculation on the basis of ingredients,,n.d.,,,Ja
1094,4313,,"Salami budget"" type""",,Sausages and cold meats/Raw sausage products,,per 100g edible portion,1750,Automated calculation,,422,Automated calculation,,37.1,-,1032,13.6,-,1032,15.7,-,1032,3.1,-,1032,76,-,1032,tr.,-,1032,tr.,-,1032,0,Estimation,1003,0,Estimation,1003,22,-,1032,3.8,Automated calculation,,0,Estimation,1003,36,-,1032,0,Automated calculation,,0,Automated calculation,,tr.,-,1003,n.d.,,,n.d.,,,0.47,-,1032,0.15,-,1032,0.24,-,1032,1.1,-,1032,5.9,-,1032,n.d.,,,0.9,-,1032,13.7,-,1032,2.3,-,1032,tr.,-,1032,330,-,1032,1530,-,1032,2410,-,1032,tr.,-,1032,17,-,1032,n.d.,,,1.2,-,1032,n.d.,,,2.7,-,1032,12,-,1032,Nein
